EXT1 I am the life of the party.,EXT2 I talk a lot.,EXT3 I feel comfortable around people.,EXT4 I don't keep in the background.,EXT5 I start conversations.,EXT6 I have a lot to say.,EXT7 I talk to a lot of different people at parties.,EXT8 I don't like to draw attention to myself.,EXT9 I don't mind being the center of attention.,EXT10 I am noisy around strangers.,,Age,Gender,birthorder,birthnum,Extroversion,birthorderratio
3,1,3,2,2,2,3,1,2,1,,30,2,2,2,2,1
1,0,3,1,1,1,1,0,3,0,,19,2,1,3,1.1,0.333333333
3,1,3,1,2,2,2,0,1,0,,21,2,1,2,1.5,0.5
1,1,2,0,1,3,1,0,1,0,,19,2,1,3,1,0.333333333
4,3,3,2,3,3,4,1,4,0,,37,2,1,3,2.7,0.333333333
3,2,4,2,4,2,3,0,3,1,,18,2,1,2,2.4,0.5
1,1,4,1,3,3,1,0,1,2,,54,2,1,3,1.7,0.333333333
5,3,4,4,4,4,5,4,5,4,,36,1,1,2,4.2,0.5
1,0,2,0,1,0,1,0,1,0,,18,1,2,2,0.6,1
1,0,1,1,2,1,2,3,2,1,,30,1,1,2,1.4,0.5
3,2,3,2,3,3,4,0,3,2,,32,1,3,7,2.5,0.428571429
3,4,5,2,4,4,4,1,1,2,,19,2,3,3,3,1
1,0,3,2,1,0,1,1,5,0,,29,1,1,3,1.4,0.333333333
0,1,4,2,4,1,2,2,4,1,,18,2,1,2,2.1,0.5
3,2,3,2,3,2,3,2,3,2,,18,2,2,2,2.5,1
4,4,4,4,5,4,5,3,4,4,,21,2,2,2,4.1,1
2,3,4,4,5,3,4,3,4,4,,24,1,1,2,3.6,0.5
4,4,4,1,3,4,3,0,3,0,,19,2,4,4,2.6,1
3,3,3,2,4,4,3,3,3,1,,26,2,3,3,2.9,1
2,2,4,1,2,2,2,1,2,1,,22,2,2,2,1.9,1
3,2,3,2,4,4,3,1,2,3,,57,2,1,3,2.7,0.333333333
4,4,2,3,2,4,2,1,4,1,,18,2,1,2,2.7,0.5
2,1,4,1,3,1,3,0,3,2,,23,1,1,3,2,0.333333333
3,4,3,2,3,4,3,2,3,2,,20,2,1,1,2.9,1
4,2,4,3,4,3,4,2,4,2,,22,2,1,2,3.2,0.5
1,0,1,0,1,0,1,0,2,0,,21,2,3,3,0.6,1
3,3,5,2,4,3,2,1,5,2,,27,2,2,4,3,0.5
4,2,4,4,4,1,5,1,3,1,,56,2,1,2,2.9,0.5
3,1,4,3,1,2,2,0,3,1,,19,2,1,3,2,0.333333333
4,3,4,3,5,3,4,2,4,3,,23,1,2,2,3.5,1
1,0,3,0,1,0,1,0,1,0,,21,1,1,1,0.7,1
1,3,4,3,4,3,2,2,2,3,,17,2,1,1,2.7,1
3,3,3,2,3,3,1,1,3,0,,20,2,3,3,2.2,1
1,4,3,1,4,3,1,1,2,1,,48,2,3,6,2.1,0.5
3,3,3,3,4,3,4,2,4,2,,20,2,1,1,3.1,1
1,2,2,1,2,2,1,0,2,1,,21,1,1,3,1.4,0.333333333
3,0,3,1,2,1,2,1,2,1,,21,1,1,2,1.6,0.5
3,2,2,2,3,2,3,1,2,1,,31,1,2,2,2.1,1
3,3,5,1,3,2,3,1,2,2,,24,2,2,2,2.5,1
4,2,4,2,4,2,4,2,4,3,,24,1,2,4,3.1,0.5
3,1,3,0,2,1,4,2,4,2,,20,2,4,4,2.2,1
4,4,4,4,4,4,4,3,5,1,,17,1,2,2,3.7,1
3,3,4,3,4,3,3,1,4,3,,17,1,4,5,3.1,0.8
3,0,3,0,4,4,1,3,5,3,,29,2,2,2,2.6,1
2,2,3,1,4,4,4,1,4,1,,24,1,1,2,2.6,0.5
2,2,2,1,4,4,1,2,2,2,,22,2,1,2,2.2,0.5
2,1,4,1,4,3,3,1,4,0,,13,2,1,2,2.3,0.5
1,1,2,0,1,1,1,0,3,1,,61,2,3,3,1.1,1
1,0,3,0,1,0,1,1,2,0,,18,1,2,3,0.9,0.666666667
2,3,3,1,3,4,1,0,1,0,,19,2,1,3,1.8,0.333333333
1,4,3,2,4,4,2,2,3,1,,40,2,4,4,2.6,1
4,4,4,3,4,3,4,3,3,3,,58,2,2,2,3.5,1
1,2,2,1,1,0,1,0,1,0,,13,2,2,3,0.9,0.666666667
3,4,5,5,4,4,3,3,5,3,,44,1,1,1,3.9,1
5,4,4,4,4,4,3,3,3,3,,14,2,1,3,3.7,0.333333333
2,2,4,2,4,3,2,1,2,1,,20,2,1,2,2.3,0.5
1,4,4,1,5,4,2,1,2,3,,28,2,1,3,2.7,0.333333333
3,1,2,2,2,3,2,2,3,0,,31,2,1,2,2,0.5
2,2,4,1,2,3,1,1,2,0,,17,2,1,2,1.8,0.5
